Bourbon	Meta Critic	STDEV	Reviewers	Cost	Class	Super Cluster	Cluster	Country	Type
Heaven Hill Trybox Series New Make	8.14	0.32	3	1.0	Bourbon-like		R1	USA	Bourbon
Henry McKenna 10yo Single Barrel BiB	8.74	0.28	14	2.0	Bourbon-like		R1	USA	Bourbon
Henry McKenna Straight Bourbon	8.11	0.19	4	1.0	Bourbon-like		R1	USA	Bourbon
High West American Prairie	8.37	0.58	11	3.0	Bourbon-like		R3	USA	Bourbon
Jack Daniel's 150th Anniversary	8.89	0.31	3	3.0	Bourbon-like		R1	USA	Bourbon
Jack Daniel's Gentleman Jack	7.93	0.45	17	2.0	Bourbon-like		R1	USA	Bourbon
Jack Daniel's Master Distiller (all series)	8.57	0.19	5	2.0	Bourbon-like		R1	USA	Bourbon
Jack Daniel's No. 27 Gold Double Barrelled	7.99	0.17	3	4.0	Bourbon-like		R1	USA	Bourbon
Jack Daniel's Old No. 7	7.89	0.45	18	2.0	Bourbon-like		R1	USA	Bourbon
Jack Daniel's Single Barrel Barrel Proof	8.65	0.51	15	4.0	Bourbon-like		R1	USA	Bourbon
Jack Daniel's Single Barrel	8.53	0.33	20	3.0	Bourbon-like		R1	USA	Bourbon
Jefferson's 18yo Presidential Select	8.81	0.45	10	5.5	Bourbon-like		R3	USA	Bourbon
Jefferson's Ocean Aged at Sea	8.73	0.42	4	4.0	Bourbon-like		R3	USA	Bourbon
Jefferson's Ocean	8.40	0.36	7	2.0	Bourbon-like		R3	USA	Bourbon
Jefferson's Reserve Very Old Kentucky Straight Bourbon	8.61	0.39	9	3.0	Bourbon-like		R3	USA	Bourbon
Jefferson's Very Small Batch Bourbon	7.91	0.65	8	2.0	Bourbon-like		R3	USA	Bourbon
Jim Beam 12yo Signature Craft	8.49	0.35	11	2.0	Bourbon-like		R2	USA	Rye
Jim Beam Black Label	8.17	0.40	19	1.0	Bourbon-like		R2	USA	Flavoured
Jim Beam Bonded	8.49	0.36	12	2.0	Bourbon-like		R2	USA	Rye
Jim Beam Devil's Cut	8.06	0.47	18	1.0	Bourbon-like		R2	USA	Bourbon
Jim Beam Distillers Masterpiece PX Sherry Cask Finish	8.25	0.86	8	5.0	Bourbon-like		R2	USA	Bourbon
Jim Beam Distillers Series	7.73	1.30	5	2.0	Bourbon-like		R2	USA	Blend
Jim Beam Double Oak	8.28	0.47	10	2.0	Bourbon-like		R2	USA	Blend
Jim Beam Red Stag (Black Cherry)	7.34	1.01	4	1.0	Bourbon-like			USA	Blend
Jim Beam Single Barrel	8.59	0.13	4	2.0	Bourbon-like		R2	USA	Blend
Jim Beam White Label	7.63	0.57	22	1.0	Bourbon-like		R2	USA	Blend
Knob Creek Single Barrel Reserve Bourbon	8.76	0.30	19	3.0	Bourbon-like		R2	USA	Rye
Knob Creek Small Batch 9yo Bourbon	8.59	0.38	27	2.0	Bourbon-like		R2	USA	Malt
Larceny Small Batch Bourbon	8.34	0.26	17	2.0	Bourbon-like		R0	USA	Malt
Maker's Mark 101 Proof	8.53	0.26	4	4.0	Bourbon-like		R0	USA	Malt
Maker's Mark 46	8.61	0.36	25	3.0	Bourbon-like		R0	USA	Wheat
Maker's Mark Cask Strength	8.72	0.39	18	4.0	Bourbon-like		R0	USA	Malt
Maker's Mark	8.19	0.39	29	2.0	Bourbon-like		R0	USA	Rye
Michter's 10yo Single Barrel Bourbon	8.83	0.30	17	5.5	Bourbon-like		R1	USA	Blend
Michter's 20yo Single Barrel Bourbon	9.14	0.38	7	5.5	Bourbon-like		R1	USA	Blend
Michter's Small Batch US*1 Bourbon	8.46	0.35	19	3.0	Bourbon-like		R1	USA	Rye
Michter's Sour Mash	8.47	0.36	6	3.0	Bourbon-like		R1	USA	Malt
Michter's Toasted Barrel	8.37	0.32	10	4.0	Bourbon-like		R1	USA	Malt
Old Fitzgerald BiB	8.22	0.55	11	3.0	Bourbon-like		R0	USA	Bourbon
Old Fitzgerald Kentucky Straight Bourbon	8.38	0.5	6	2.0	Bourbon-like		R0	USA	Bourbon
Old Forester 1870 Original Batch	8.26	0.2	3	3.0	Bourbon-like		R2	USA	Rye
Old Forester 1897 BiB	8.4	0.55	10	3.0	Bourbon-like		R2	USA	Malt
Old Forester 1920 Prohibition Style	8.78	0.25	13	4.0	Bourbon-like		R2	USA	Malt
Old Forester Birthday (all editions)	8.73	0.3	17	5.0	Bourbon-like		R2	USA	Malt
Old Forester Signature (100 Proof)	8.37	0.4	16	2.0	Bourbon-like		R2	USA	Malt
Old Forester Statesman	8.65	0.38	6	3.0	Bourbon-like		R2	USA	Malt
Old Forester	8.14	0.48	15	2.0	Bourbon-like		R2	USA	Rye
Old Grand-Dad Bourbon (80/86 Proof)	8.01	0.53	13	2.0	Bourbon-like		R3	USA	Malt
Old Grand-Dad Bourbon 100 BiB	8.43	0.57	15	2.0	Bourbon-like		R3	USA	Malt
Old Grand-Dad Bourbon 114	8.74	0.3	19	2.0	Bourbon-like		R3	USA	Malt
Old Rip Van Winkle 10yo	8.9	0.23	15	5.5	Bourbon-like		R0	USA	Bourbon
Old Weller Antique 107	8.7	0.29	20	2.0	Bourbon-like		R0	USA	Rye
Pappy Van Winkle Family Reserve Bourbon 15yo	9.22	0.24	14	5.5	Bourbon-like		R0	USA	Bourbon
Pappy Van Winkle Family Reserve Bourbon 20yo	9.19	0.35	17	5.5	Bourbon-like		R0	USA	Bourbon
Pappy Van Winkle Family Reserve Bourbon 23yo	8.85	0.4	9	5.5	Bourbon-like		R0	USA	Bourbon
Rebel Yell Kentucky Bourbon	7.55	0.67	14	1.0	Bourbon-like		R0	USA	Blend
Redemption High Rye Bourbon	7.82	0.62	7	2.0	Bourbon-like		R3	USA	Bourbon
